Publisher,AdWords Posting URL,Ad Planner Name,Type,Category,Has Advertising,Text,Image,Audio,Video,Rich Media,Expandable,Comp Index,Audience Reach,Audience UV (users),Region UV (users),Region PV,
,,domain: facebook.com,[D],Online Communities > Social Networks,Yes,Yes,53x31 70x100 90x90 97x28 120x90 120x600 125x125 132x43 150x150 160x600 200x200 234x60 250x250 254x500 300x250 300x300 336x280 450x50 468x60 468x191 480x70 728x90 ,No,No,120x600 160x600 250x250 300x250 336x280 468x60 728x90 ,728x90 ,99,75.5%,"3,500,000","3,500,000","3,600,000,000",
,,domain: vg.no,[D],News,Yes,No,No,No,No,No,No,100,56.3%,"2,600,000","2,600,000","130,000,000",
,,domain: finn.no,[D],Shopping > Classifieds,No,No,No,No,No,No,No,98,56.0%,"2,600,000","2,600,000","890,000,000",
,,domain: yr.no,[D],News > Weather,No,No,No,No,No,No,No,100,47.2%,"2,200,000","2,200,000","81,000,000",
,,domain: live.com,[D],Internet & Telecom > Search Engines,Yes,No,No,No,No,No,No,100,46.7%,"2,100,000","2,100,000","230,000,000",
,,domain: gulesider.no,[D],Reference > Directories & Listings > Business & Personal Listings,Yes,No,No,No,No,No,No,100,42.9%,"2,000,000","2,000,000","32,000,000",
,,domain: msn.com,[D],Internet & Telecom > Web Portals,Yes,Yes,60x60 68x48 75x75 85x85 300x250 728x90 ,No,No,No,No,100,42.9%,"2,000,000","2,000,000","89,000,000",
,,domain: wikipedia.org,[D],Reference > General Reference > Dictionaries & Encyclopedias,No,No,No,No,No,No,No,100,39.3%,"1,800,000","1,800,000","23,000,000",
,,domain: nrk.no,[D],News,Yes,No,No,No,No,No,No,100,38.6%,"1,800,000","1,800,000","61,000,000",
,,domain: dagbladet.no,[D],News,Yes,No,118x75 178x128 178x280 468x60 ,No,No,No,No,100,38.2%,"1,800,000","1,800,000","74,000,000",
,,domain: startsiden.no,[D],Internet & Telecom > Web Portals,Yes,Yes,160x600 ,No,No,160x600 ,No,100,35.2%,"1,600,000","1,600,000","98,000,000",
,,domain: dnbnor.no,[D],Finance,No,No,No,No,No,No,No,100,32.4%,"1,500,000","1,500,000","150,000,000",
,,domain: 1881.no,[D],Reference > Directories & Listings > Business & Personal Listings,Yes,Yes,110x990 120x600 185x15 185x50 250x250 320x50 468x60 728x90 960x150 980x150 ,No,No,120x600 250x250 468x60 728x90 ,120x600 250x250 468x60 728x90 ,100,29.6%,"1,400,000","1,400,000","26,000,000",
,,domain: aftenposten.no,[D],News,Yes,Yes,40x20 150x60 160x600 168x84 168x168 180x125 180x500 180x1000 300x250 320x60 320x300 468x250 468x400 728x90 768x400 980x150 ,No,No,No,No,100,29.5%,"1,400,000","1,400,000","42,000,000",
,,domain: blogspot.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 95x95 120x60 120x90 120x240 120x600 125x125 160x600 200x200 234x60 250x250 300x250 320x50 336x280 450x50 468x60 480x70 728x90 ,No,No,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,99,29.1%,"1,300,000","1,300,000","19,000,000",
,,domain: sol.no,[D],News,Yes,Yes,160x600 180x500 250x250 468x400 728x90 980x150 ,No,No,160x600 250x250 728x90 ,160x600 250x250 728x90 ,100,26.7%,"1,200,000","1,200,000","81,000,000",
,,domain: vgtv.no,[D],Arts & Entertainment > TV & Video > Online Video,Yes,No,No,No,No,No,No,100,26.7%,"1,200,000","1,200,000","24,000,000",
,,domain: kvasir.no,[D],Internet & Telecom > Search Engines,Yes,No,No,No,No,No,No,100,24.1%,"1,100,000","1,100,000","18,000,000",
,,domain: telenor.no,[D],Internet & Telecom > Service Providers,No,No,No,No,No,No,No,100,24.0%,"1,100,000","1,100,000","61,000,000",
,,domain: tv2.no,[D],News,Yes,Yes,180x500 300x250 336x280 468x400 ,No,No,300x250 336x280 ,No,99,23.9%,"1,100,000","1,100,000","21,000,000",
,,domain: abcnyheter.no,[D],News,Yes,Yes,160x600 300x250 336x280 728x90 ,No,No,160x600 300x250 336x280 728x90 ,No,99,23.8%,"1,100,000","1,100,000","38,000,000",
,,domain: nav.no,[D],Law & Government > Social Services,No,No,No,No,No,No,No,99,21.8%,"1,000,000","1,000,000","37,000,000",
,,domain: yahoo.com,[D],Internet & Telecom > Web Portals,Yes,Yes,74x48 80x20 100x100 ,No,No,No,No,99,21.7%,"1,000,000","1,000,000","74,000,000",
,,domain: edb.com,[D],Finance > Banking,No,No,No,No,No,No,No,98,21.6%,"990,000","1,000,000","35,000,000",
,,domain: e24.no,[D],News,Yes,Yes,No,No,No,No,No,99,20.0%,"920,000","930,000","9,000,000",
,,domain: microsoft.com,[D],Computers & Electronics > Software,Yes,Yes,70x70 130x24 ,No,No,No,No,98,19.9%,"910,000","930,000","8,300,000",
,,domain: klikk.no,[D],News,Yes,Yes,150x150 180x120 180x150 180x250 180x500 300x250 606x70 768x150 ,No,No,300x250 ,No,99,19.7%,"910,000","920,000","6,800,000",
,,domain: kjendis.no,[D],Arts & Entertainment > Celebrities & Entertainment News,Yes,Yes,No,No,No,No,No,98,19.6%,"900,000","920,000","5,700,000",
,,domain: storm.no,[D],News > Weather,Yes,Yes,180x500 180x785 300x250 468x400 768x150 800x100 ,No,No,300x250 ,No,100,18.2%,"840,000","840,000","23,000,000",
,,domain: sparebank1.no,[D],Finance,No,No,No,No,No,No,No,99,18.1%,"830,000","840,000","81,000,000",
,,domain: norwegian.no,[D],Travel > Travel Agencies & Services,No,No,No,No,No,No,No,100,18.1%,"830,000","830,000","21,000,000",
,,domain: nettavisen.no,[D],News > Newspapers,Yes,Yes,110x1000 110x1001 140x200 150x30 180x150 180x200 180x250 180x300 180x500 180x1000 180x1001 250x250 250x300 250x400 300x200 300x250 320x50 336x280 468x60 468x200 468x400 468x800 468x1100 728x90 768x60 768x150 784x150 787x150 900x150 960x180 980x600 1000x300 ,No,No,250x250 336x280 468x60 728x90 ,250x250 336x280 468x60 728x90 ,100,18.1%,"830,000","830,000","23,000,000",
,,domain: dinside.no,[D],Autos & Vehicles > Vehicle Shows,Yes,No,150x1000 180x720 300x125 300x300 468x700 580x150 580x400 980x25 980x150 980x400 ,No,No,No,No,98,18.1%,"830,000","840,000","11,000,000",
,,domain: abcsok.no,[D],Internet & Telecom > Search Engines,Yes,No,No,No,No,No,No,100,16.6%,"760,000","760,000","21,000,000",
,,domain: bing.com,[D],Internet & Telecom > Search Engines,Yes,Yes,No,No,No,No,No,100,16.5%,"760,000","760,000","11,000,000",
,,domain: ask.com,[D],Internet & Telecom > Search Engines,Yes,Yes,160x600 300x250 468x60 728x90 ,No,No,160x600 300x250 728x90 ,No,100,16.3%,"750,000","750,000","4,600,000",
,,domain: online.no,[D],Internet & Telecom > Web Portals,Yes,Yes,50x50 61x15 88x31 92x32 105x105 117x59 118x65 120x33 120x60 120x90 125x60 140x350 150x43 234x60 468x60 620x150 ,No,No,No,No,100,14.8%,"680,000","680,000","15,000,000",
,,domain: adressa.no,[D],News,Yes,Yes,180x125 180x500 300x250 320x60 468x60 468x250 468x400 ,No,No,300x250 468x60 ,300x250 468x60 ,100,13.8%,"630,000","630,000","19,000,000",
,,domain: bt.no,[D],News,Yes,Yes,150x60 168x42 168x84 168x168 180x125 180x500 320x60 320x300 380x100 380x262 468x250 468x400 580x400 728x90 768x400 980x25 980x150 980x500 ,No,No,728x90 ,No,100,13.6%,"630,000","630,000","22,000,000",
,,domain: 180.no,[D],"Computers & Electronics > Computer Hardware > Computer Peripherals > Printers, Copiers & Fax > Fax Machines",No,No,No,No,No,No,No,100,13.6%,"620,000","620,000","10,000,000",
,,domain: bbs.no,[D],Finance > Banking,No,No,No,No,No,No,No,100,13.5%,"620,000","620,000","4,700,000",
,,domain: start.no,[D],Internet & Telecom > Web Portals,Yes,No,No,No,No,No,No,100,13.5%,"620,000","620,000","4,700,000",
,,domain: nettkatalogen.no,[D],Reference > Directories & Listings > Business & Personal Listings,Yes,Yes,No,No,No,No,No,98,13.5%,"620,000","630,000","2,600,000",
,,domain: wordpress.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 100x60 100x100 118x100 120x40 120x60 120x90 120x135 120x240 120x600 125x80 125x125 126x24 128x29 139x189 140x140 140x350 145x185 150x60 150x120 150x150 150x600 160x160 160x220 160x225 160x600 165x137 170x240 170x500 175x500 180x150 181x54 185x140 192x208 200x72 200x75 200x90 200x91 200x200 220x200 220x220 220x280 224x33 225x85 225x144 225x225 230x230 234x60 240x300 250x250 300x50 300x250 300x500 320x50 336x280 430x50 468x60 728x90 970x66 970x100 1768x51 ,No,No,300x250 336x280 ,336x280 ,99,13.4%,"620,000","620,000","3,800,000",
,,domain: kelkoo.no,[D],Shopping > Shopping Portals & Search Engines,Yes,Yes,728x90 ,No,No,728x90 ,No,99,13.3%,"610,000","620,000","4,600,000",
,,domain: seher.no,[D],News > Gossip & Tabloid News,Yes,No,150x1000 300x125 468x400 580x400 980x150 980x400 993x25 ,No,No,No,No,99,12.4%,"570,000","580,000","13,000,000",
,,domain: postbanken.no,[D],Finance > Banking,No,No,No,No,No,No,No,100,12.4%,"570,000","570,000","6,700,000",
,,domain: dn.no,[D],News > Business News,Yes,No,210x150 300x250 468x400 768x150 ,No,No,No,No,100,12.4%,"570,000","570,000","15,000,000",
,,domain: skatteetaten.no,[D],Finance > Accounting & Auditing,No,No,No,No,No,No,No,98,12.3%,"570,000","580,000","6,800,000",
,,domain: difi.no,[D],Arts & Entertainment,No,No,No,No,No,No,No,99,12.3%,"570,000","570,000","8,200,000",
,,domain: altinn.no,[D],Law & Government > Government,No,No,No,No,No,No,No,100,12.3%,"560,000","560,000","29,000,000",
,,domain: sas.no,[D],Travel > Air Travel,Yes,Yes,100x50 ,No,No,No,No,100,12.3%,"560,000","560,000","6,800,000",
,,domain: nordea.no,[D],Finance > Banking,No,No,No,No,No,No,No,100,11.4%,"520,000","520,000","50,000,000",
,,domain: 123spill.no,[D],Games > Online Games,Yes,No,No,No,No,No,No,100,11.4%,"520,000","520,000","12,000,000",
,,domain: adobe.com,[D],Computers & Electronics > Software > Multimedia Software,No,No,No,No,No,No,No,99,11.2%,"520,000","520,000","3,200,000",
,,domain: elkjop.no,[D],Shopping,No,No,No,No,No,No,No,100,11.2%,"520,000","520,000","8,900,000",
,,domain: norge.no,[D],Arts & Entertainment,No,No,No,No,No,No,No,100,11.2%,"520,000","520,000","6,200,000",
,,domain: norsk-tipping.no,[D],,Yes,No,No,No,No,No,No,100,11.1%,"510,000","510,000","16,000,000",
,,domain: posten.no,[D],Law & Government > Social Services,Yes,No,No,No,No,No,No,100,10.4%,"480,000","480,000","5,200,000",
,,domain: tv2nyhetene.no,[D],News,Yes,Yes,300x250 468x400 ,No,No,300x250 ,No,100,10.2%,"470,000","470,000","3,200,000",
,,domain: windows.com,[D],Computers & Electronics > Software > Operating Systems > Windows OS,Yes,Yes,No,No,No,No,No,100,10.2%,"470,000","470,000","1,600,000",
,,domain: apple.com,[D],Computers & Electronics > Software > Operating Systems > Mac OS,Yes,Yes,53x53 135x95 187x94 240x48 305x63 305x80 320x37 320x259 385x295 480x187 ,No,No,No,No,99,10.2%,"470,000","470,000","4,700,000",
,,domain: flysas.com,[D],Travel > Air Travel,Yes,Yes,No,No,No,No,No,99,10.1%,"470,000","470,000","5,100,000",
,,domain: twitter.com,[D],Internet & Telecom > Email & Messaging,No,No,No,No,No,No,No,100,9.4%,"430,000","430,000","6,200,000",
,,domain: vegvesen.no,[D],Autos & Vehicles > Vehicle Licensing & Registration,No,No,No,No,No,No,No,100,9.3%,"430,000","430,000","5,600,000",
,,domain: ikea.com,[D],Home & Garden > Home Furnishings,No,No,No,No,No,No,No,100,9.2%,"420,000","420,000","18,000,000",
,,domain: portalbank.no,[D],Finance > Banking,No,No,No,No,No,No,No,98,9.1%,"420,000","430,000","61,000,000",
