Site Name,Category,Composition Index,Audience Reach,Audience Unique Users,Country Unique Users,Country Page Views,GCN Text,GCN Images,GCN Videos,GCN Gadgets,GCN Impressions/Day
naver.com,/Local,100,73.5,28000000,28000000,4800000000,No,,,,undefined
daum.net,/Online Communities /Internet/Web Portals,100,61.7,23000000,23000000,1900000000,No,,,,undefined
cyworld.com,/Entertainment/Celebrities,100,46.3,17000000,17000000,1800000000,No,,,, --
yahoo.com,/Internet/Web Portals /Internet/Web Services/Search Engines,100,38.9,15000000,15000000,800000000,No,,,, --
nate.com,/Internet/Web Portals,100,35.2,13000000,13000000,250000000,No,,,, --
empas.com,/News & Current Events,100,32.1,12000000,12000000,230000000,No,,,,undefined
joins.com,/Lifestyles,110,28.9,11000000,9900000,72000000,Yes,200x200 250x250 300x250,,200x200 250x250 300x250,500K - 1M
tistory.com,/Online Communities/Blogging Resources & Services /Internet/Web Portals /Entertainment,100,28.7,11000000,11000000,50000000,No,,,, --
paran.com,/Internet/Web Portals,100,26.4,10000000,10000000,140000000,Yes,120x600 160x600 250x250 300x250 336x280 450x50 468x60 728x90,,120x600 160x600 250x250 300x250 336x280 468x60 728x90,10K - 100K
microsoft.com,/Computers & Electronics/Software/Operating Systems,100,24,9000000,9000000,42000000,No,,,, --
gmarket.co.kr,/Shopping /Business,100,23.9,9000000,9000000,250000000,No,,,, --
chosun.com,/News & Current Events/Newspapers,100,23.9,9000000,9000000,80000000,Yes,200x200 468x60,,200x200 468x60,5M - 10M
hankooki.com,/Business /News & Current Events/Newspapers,100,23.6,8900000,8900000,28000000,No,,,, --
auction.co.kr,/Shopping/Auctions /Computers & Electronics/Programming/Scripting Languages,100,21.6,8200000,8200000,250000000,No,,,, --
overture.com,/Internet/Web Services/Search Engines /Business/Advertising & Marketing,100,18,6800000,6800000,11000000,No,,,, --
kbs.co.kr,/Entertainment/TV,100,17.8,6700000,6700000,88000000,Yes,,,,100K - 500K
gomtv.com,/Computers & Electronics/Software/Audio & Multimedia /Entertainment /Entertainment/Multimedia Content/Video Clips & Movie Downloads,100,17.6,6600000,6600000,28000000,Yes,468x60,,468x60,2M - 5M
donga.com,/Society /Local/Regional Content /Business/Management & Corporate Operations,100,17.6,6600000,6600000,31000000,No,,,, --
hangame.com,/Games/Video Games/Online Games,100,16.5,6200000,6200000,250000000,No,,,, --
netmarble.net,/Games/Video Games/Online Games,100,16.4,6200000,6200000,300000000,No,,,, --
sbs.co.kr,/Entertainment/TV/TV Programs /News & Current Events/Politics,100,16.3,6100000,6100000,31000000,No,,,, --
moneytoday.co.kr,/Finance & Insurance /Business/Advertising & Marketing /News & Current Events/Newspapers,100,16.2,6100000,6100000,15000000,Yes,200x200 468x60,,200x200 468x60,500K - 1M
msn.com,/Internet/Web Portals /News & Current Events,100,16.1,6100000,6100000,28000000,No,,,, --
hani.co.kr,/News & Current Events/Newspapers,100,15,5700000,5700000,19000000,No,,,, --
imbc.com,/Entertainment/TV/TV Programs /Society /News & Current Events,100,15,5700000,5700000,28000000,No,,,, --
kukinews.com,/Real Estate /Lifestyles/Religion & Spirituality,100,14.8,5600000,5600000,8100000,No,,,, --
hankyung.com,/Sports/Football /Shopping/Ticket Sales,100,14.8,5600000,5600000,16000000,Yes,450x50 468x60,,,10K - 100K
asiae.co.kr,/Entertainment/Movies /News & Current Events/Newspapers,100,14.7,5500000,5500000,38000000,Yes,200x200,,200x200,2M - 5M
egloos.com,/Online Communities/Online Journals & Personal Sites /Online Communities/Blogging Resources & Services,100,14.7,5500000,5500000,37000000,No,,,, --
sportsseoul.com,/Sports /Entertainment /News & Current Events/Newspapers,100,14.5,5500000,5500000,21000000,Yes,468x60,,,1M - 2M
naver.net,/Games/Video Games/Online Games /Games/Video Games/Cheats & Hints,100,13.5,5100000,5100000,13000000,No,,,, --
khan.co.kr,/Entertainment/Movies /Business /News & Current Events/Newspapers,110,13.5,5100000,4600000,14000000,No,,,, --
sayclub.com,/Internet/Web Services/Email & Messaging /Shopping/Apparel /Travel,100,13.5,5100000,5100000,230000000,Yes,160x600 468x60 728x90,,,1M - 2M
interpark.com,/Shopping,100,13.5,5100000,5100000,51000000,No,,,, --
pandora.tv,/Entertainment /Computers & Electronics/Software/Audio & Multimedia,100,13.4,5100000,5100000,42000000,No,,,,undefined
seoul.co.kr,/Entertainment /Lifestyles /Science/Biological Sciences,100,13.4,5100000,5100000,8300000,Yes,200x200 250x250,,200x200 250x250,2M - 5M
nexon.com,/Games/Video Games,100,13.3,5000000,5000000,140000000,Yes,,,,100K - 500K
ohmynews.com,/News & Current Events/Local News,110,13.2,5000000,4500000,12000000,Yes,160x600 300x250 336x280 468x60,,160x600 300x250 336x280 468x60,500K - 1M
